Date,Competition,Home Team,Home Score,Away Team,Away Score,Result,Wins,Losses,Draws,Win Percentage
13/08/2022,Premier League,Man United,1,Brighton,2,L,75,43,18,55.147
22/08/2022,Premier League,Brentford,4,Man United,0,L,,,,
27/08/2022,Premier League,Man United,2,Liverpool,1,W,,,,
01/09/2022,Premier League,Southampton,0,Man United,1,W,,,,
04/09/2022,Premier League,Leicester City,0,Man United,1,W,,,,
08/09/2022,"Europa League (Group Stage, Matchday 1 of 6)",Man United,0,Real Sociedad,1,L,,,,
15/09/2022,"Europa League (Group Stage, Matchday 2 of 6)",Sheriff,0,Man United,2,W,,,,
02/10/2022,Premier League,Man City,6,Man United,3,L,,,,
06/10/2022,"Europa League (Group Stage, Matchday 3 of 6)",Omonoia,2,Man United,3,W,,,,
09/10/2022,Premier League,Everton,1,Man United,2,W,,,,
13/10/2022,"Europa League (Group Stage, Matchday 4 of 6)",Man United,1,Omonoia,0,W,,,,
16/10/2022,Premier League,Man United,0,Newcastle,0,D,,,,
19/10/2022,Premier League,Man United,2,Tottenham,0,W,,,,
22/10/2022,Premier League,Chelsea,1,Man United,1,D,,,,
27/10/2022,"Europa League (Group Stage, Matchday 5 of 6)",Man United,3,Sheriff,0,W,,,,
30/10/2022,Premier League,Man United,1,West Ham,0,W,,,,
03/11/2022,"Europa League (Group Stage, Matchday 6 of 6)",Real Sociedad,0,Man United,1,W,,,,
06/11/2022,Premier League,Aston Villa,3,Man United,1,L,,,,
10/11/2022,EFL Cup (Third Round),Man United,4,Aston Villa,2,W,,,,
13/11/2022,Premier League,Fulham,1,Man United,2,W,,,,
07/12/2022,Friendly,CÃ¡diz,4,Man United,2,L,,,,
10/12/2022,Friendly,Real Betis,1,Man United,0,L,,,,
21/12/2022,EFL Cup (Round of 16),Man United,2,Burnley,0,W,,,,
27/12/2022,Premier League,Man United,3,Nottingham Forest,0,W,,,,
31/12/2022,Premier League,Wolves,0,Man United,1,W,,,,
03/01/2023,Premier League,Man United,3,Bournemouth,0,W,,,,
06/01/2023,FA Cup Â· 3rd Round,Man United,3,Everton,1,W,,,,
10/01/2023,EFL Cup Â· Quarter-final,Man United,3,Charlton,0,W,,,,
14/01/2023,Premier League,Man United,2,Man City,1,W,,,,
18/01/2023,Premier League,Crystal Palace,1,Man United,1,D,,,,
22/01/2023,Premier League,Arsenal,3,Man United,2,L,,,,
